id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
35491,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,04:00,,,21,Oct,2016
35492,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,08:00,,,21,Oct,2016
35493,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,12:00,,,21,Oct,2016
35494,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,16:00,,,21,Oct,2016
35495,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,20:00,,,21,Oct,2016
35950,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,00:00,,,21,Oct,2016
35951,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,04:00,,,21,Oct,2016
35952,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,08:00,,,21,Oct,2016
35953,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,12:00,,,21,Oct,2016
35954,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,16:00,,,21,Oct,2016
35955,Delhi,"IGI Airport (T3), New Delhi - IMD",site_106,Delhi,run2_delhi_delhi_site_106_20161021,21-Oct-2016,20:00,,,21,Oct,2016
36410,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,00:00,237.75,,21,Oct,2016
36411,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,04:00,128.63,,21,Oct,2016
36412,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,08:00,78.01,,21,Oct,2016
36413,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,12:00,55.44,,21,Oct,2016
36414,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,16:00,50.02,,21,Oct,2016
36415,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB",site_114,Delhi,run2_delhi_delhi_site_114_20161021,21-Oct-2016,20:00,109.36,,21,Oct,2016
36860,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,00:00,,,21,Oct,2016
36861,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,04:00,,,21,Oct,2016
36862,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,08:00,,,21,Oct,2016
36863,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,12:00,,,21,Oct,2016
36864,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,16:00,,,21,Oct,2016
36865,Delhi,"ITO, New Delhi - CPCB",site_117,Delhi,run2_delhi_delhi_site_117_20161021,21-Oct-2016,20:00,,,21,Oct,2016
37320,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,00:00,,,21,Oct,2016
37321,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,04:00,,,21,Oct,2016
37322,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,08:00,,,21,Oct,2016
37323,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,12:00,,,21,Oct,2016
37324,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,16:00,,,21,Oct,2016
37325,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,Delhi,run2_delhi_delhi_site_1423_20161021,21-Oct-2016,20:00,,,21,Oct,2016
37780,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,00:00,,,21,Oct,2016
37781,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,04:00,,,21,Oct,2016
37782,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,08:00,,,21,Oct,2016
37783,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,12:00,,,21,Oct,2016
